DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/01/2016,23:00,MANHATTAN,10012,40.7211912,-73.9937083,"(40.721191, -73.993708)",,,196 BOWERY,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,,,,3405725,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/02/2016,10:05,MANHATTAN,10012,40.7203211,-73.9940403,"(40.720321, -73.99404)",BOWERY,KENMARE STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405726,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/02/2016,8:00,MANHATTAN,10012,40.7241363,-73.9926041,"(40.724136, -73.992604)",BOWERY,EAST HOUSTON STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3405727,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/02/2016,12:50,MANHATTAN,10012,40.7244328,-73.9934591,"(40.724433, -73.993459)",EAST HOUSTON STREET,ELIZABETH STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405728,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/02/2016,14:10,MANHATTAN,10002,40.7150813,-73.9924897,"(40.715081, -73.99249)",CANAL STREET,ALLEN STREET,,0,0,0,0,0,0,0,0,Driver Inexperience,Driver Inexperience,,,,3405729,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/02/2016,17:05,MANHATTAN,10002,40.7192038,-73.9903644,"(40.719204, -73.990364)",DELANCEY STREET,ALLEN STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405730,PASSENGER VEHICLE,,,,
04/02/2016,17:30,MANHATTAN,10013,40.7144502,-73.9995924,"(40.71445, -73.999592)",MULBERRY STREET,MOSCO STREET,,0,0,0,0,0,0,0,0,,,,,,3405731,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/02/2016,20:43,MANHATTAN,10002,40.7190695,-73.9933586,"(40.71907, -73.993359)",CHRYSTIE STREET,BROOME STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,3405732,PASSENGER VEHICLE,,,,
04/03/2016,0:05,MANHATTAN,10013,40.7184493,-73.9977417,"(40.718449, -73.997742)",,,134 MULBERRY STREET,0,0,0,0,0,0,0,0,Pavement Defective,,,,,3405733,PASSENGER VEHICLE,,,,
04/03/2016,0:15,MANHATTAN,10002,40.7199725,-73.9928968,"(40.719973, -73.992897)",CHRYSTIE STREET,DELANCEY STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,,,,3405734,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/03/2016,0:30,MANHATTAN,10013,40.7208345,-73.9976551,"(40.720835, -73.997655)",CENTRE STREET,BROOME STREET,,0,0,0,0,0,0,0,0,Lost Consciousness,Lost Consciousness,,,,3405735,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/03/2016,1:00,MANHATTAN,10002,40.7199725,-73.9928968,"(40.719973, -73.992897)",DELANCEY STREET,CHRYSTIE STREET,,0,0,0,0,0,0,0,0,Lost Consciousness,Lost Consciousness,,,,3405736,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/03/2016,4:40,,,,,,,,MANHATTAN BRIDGE,0,0,0,0,0,0,0,0,Turning Improperly,Turning Improperly,,,,3405737,PASSENGER VEHICLE,,,,
04/03/2016,12:15,,,,,,CANAL STREET,BOWERY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405738,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/04/2016,5:40,MANHATTAN,10013,40.7188336,-74.0011111,"(40.718834, -74.001111)",,,268 CANAL STREET,0,0,0,0,0,0,0,0,Lost Consciousness,Lost Consciousness,,,,3405739,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/04/2016,9:46,MANHATTAN,10038,40.7126936,-73.9970818,"(40.712694, -73.997082)",,,25 CATHERINE STREET,0,0,0,0,0,0,0,0,Backing Unsafely,Backing Unsafely,,,,3405740,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),,,
04/04/2016,10:10,MANHATTAN,10013,40.7208345,-73.9976551,"(40.720835, -73.997655)",CLEVELAND PLACE,BROOME STREET,,0,0,0,0,0,0,0,0,,,,,,3405741,VAN,SMALL COM VEH(4 TIRES),,,
04/04/2016,11:25,MANHATTAN,10013,40.7163221,-73.9962989,"(40.716322, -73.996299)",,,155 CANAL STREET,0,0,0,0,0,0,0,0,Pavement Slippery,Pavement Slippery,,,,3405742,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/04/2016,12:10,MANHATTAN,10038,40.7128006,-73.9971179,"(40.712801, -73.997118)",HENRY STREET,CATHERINE STREET,,0,0,0,0,0,0,0,0,,,,,,3405743,VAN,PASSENGER VEHICLE,,,
04/04/2016,14:20,MANHATTAN,10002,40.7169671,-73.9944266,"(40.716967, -73.994427)",HESTER STREET,CHRYSTIE STREET,,0,0,0,0,0,0,0,0,Lost Consciousness,Lost Consciousness,,,,3405744,VAN,PASSENGER VEHICLE,,,
03/22/2016,21:20,MANHATTAN,10013,40.7180184,-73.9999567,"(40.718018, -73.999957)",CANAL STREET,CENTRE STREET,,0,0,0,0,0,0,0,0,Oversized Vehicle,Oversized Vehicle,,,,3405745,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,,,
04/04/2016,18:10,MANHATTAN,10038,40.7120705,-73.9969484,"(40.712071, -73.996948)",CATHERINE STREET,MADISON STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405746,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
